key,summary,category,full_name,alert_warn_detail,alert_error_detail,acceptable,targeted,alert_warn_detail_cs,alert_error_detail_cs,acceptable_cs,targeted_cs,evaluate_type,format_type,is_species_specific,include_cumulative,alert_warn_name,alert_error_name,help_description
square_002um.mean_umis_per_bin,TRUE,Sequencing,Mean UMIs Under Tissue per Square 2 µm,,,,,,,,,,percentage,FALSE,FALSE,,,Mean UMIs detected per 2µm square covered by tissue.
square_002um.total_genes_detected_under_tissue,TRUE,Sequencing,Total Genes Detected Under Tissue 2 µm,,,,,,,,,,int,FALSE,FALSE,,,Total genes detected across 2µm square capture area covered by tissue.
square_008um.bins_under_tissue,TRUE,Sequencing,Number of Bins Under Tissue 8 µm,,,,,,,,,,int,FALSE,FALSE,,,Number of 8 µm bins coverd by tissue.
square_008um.mean_reads_per_bin,TRUE,Sequencing,Mean Reads Under Tissue per Bin 8 µm,,,,,,,,,,float,FALSE,FALSE,,,Mean reads per 8 µm bins covered by tissue.
square_008um.bins_under_tissue_frac,TRUE,Sequencing,Fraction of Bins Under Tissue 8 µm,,,,,,,,,,percentage,FALSE,FALSE,,,Fraction of 8 µm bins covered by tissue.
square_008um.mean_genes_per_bin,TRUE,Sequencing,Mean Genes Under Tissue per Bin 8 µm,,,,,,,,,,float,FALSE,FALSE,,,Median genes detected per 8 µm bins covered by tissue.
square_008um.mean_umis_per_bin,TRUE,Sequencing,Mean UMIs Under Tissue per Bin 8 µm,,,,,,,,,,percentage,FALSE,FALSE,,,Mean UMIs detected per 8 µm bins covered by tissue.
square_008um.total_genes_detected_under_tissue,TRUE,Sequencing,Total Genes Detected Under Tissue 8 µm,,,,,,,,,,int,FALSE,FALSE,,,Total genes detected across 8 µm bins capture area covered by tissue.
square_016um.bins_under_tissue,TRUE,Sequencing,Number of Bins Under Tissue 16 µm,,,,,,,,,,int,FALSE,FALSE,,,Number of 16µm bins coverd by tissue.
square_016um.mean_reads_per_bin,TRUE,Sequencing,Mean Reads Under Tissue per Bin 16 µm,,,,,,,,,,float,FALSE,FALSE,,,Mean reads per 16µm bins covered by tissue.
square_016um.bins_under_tissue_frac,TRUE,Sequencing,Fraction of Bins Under Tissue 16 µm,,,,,,,,,,percentage,FALSE,FALSE,,,Fraction of 16µm bins covered by tissue.
square_016um.mean_genes_per_bin,TRUE,Sequencing,Mean Genes Under Tissue per Bin 16 µm,,,,,,,,,,float,FALSE,FALSE,,,Median genes detected per 16µm bins covered by tissue.
square_016um.mean_umis_per_bin,TRUE,Sequencing,Mean UMIs Under Tissue per Bin 16 µm,,,,,,,,,,percentage,FALSE,FALSE,,,Mean UMIs detected per 16µm bins covered by tissue.
square_016um.total_genes_detected_under_tissue,TRUE,Sequencing,Total Genes Detected Under Tissue 16 µm,,,,,,,,,,int,FALSE,FALSE,,,Total genes detected across 16µm bins capture area covered by tissue.
# Things to take out from the SD Visium
filtered_bcs_transcriptome_union,FALSE,Square Calling,Number of Squares Under Tissue,"Ideal >20. This usually indicates poor tissue detection, poor library quality, or poor sequencing quality. Application performance is likely to be affected.",alert_warn_detail,-1,20,"Ideal > 20. This usually indicates poor tissue detection, poor library quality, or poor sequencing quality. Application performance is likely to be affected.",alert_warn_detail,acceptable,targeted,gt,int,FALSE,FALSE,Unusual Number of Squares Detected,alert_warn_name,The number of barcodes associated with a square under tissue.
multi_transcriptome_total_raw_reads_per_filtered_bc,FALSE,Sensitivity,Mean Reads per Square,,,,,,,,,,int,FALSE,FALSE,,,"The number of reads, both under and outside of tissue, divided by the number of barcodes associated with a square under tissue."
reads_per_cell,FALSE,Sequencing,Mean Reads per Square,,,,,,,,,,int,FALSE,FALSE,,,"The number of reads, both under and outside of tissue, divided by the number of barcodes associated with a square under tissue."
fraction_under_tissue,FALSE,Square Calling,Fraction of Squares Under Tissue,,,,,,,,,,percentage,FALSE,FALSE,,,The fraction of the squares under the tissue.
filtered_reads_per_filtered_bc,FALSE,Sequencing,Mean Reads Under Tissue per Square,"Modifying the parameter --rps-limit is not recommended. Please refer to the documentation.",alert_warn_detail,,16000,alert_warn_detail,alert_warn_detail,,targeted,lt,int,FALSE,FALSE,High Reads Under Tissue per Square,alert_warn_name,The number of reads under tissue divided by the number of barcodes associated with a square under tissue.
filtered_bcs_median_unique_genes_detected,FALSE,Sensitivity,Median Genes per Square,,,,,,,,,,int,TRUE,FALSE,,,The median number of genes detected per square under tissue-associated barcode. Detection is defined as the presence of at least 1 UMI count.
filtered_bcs_median_counts,FALSE,Square Calling,Median UMI Counts per Square,,,,,,,,,,int,TRUE,FALSE,,,The median number of UMI counts per tissue covered square.
median_genes_per_cell_on_target,FALSE,Sensitivity,Median Genes per Square,,,,,,,,,,int,FALSE,,,,The median number of genes detected per square under tissue-associated barcode. Detection is defined as the presence of at least 1 UMI count.
median_umis_per_cell_on_target,FALSE,Square Calling,Median UMI Counts per Square,,,,,,,,,,int,FALSE,,,,The median number of targeted UMI counts per tissue-associated barcode.
num_genes_quantifiable_on_target,FALSE,Targeting,Number of Genes >= 10 UMIs,,,,,,,,,,int,,,,,Number of genes with at least 10 filtered UMIs from tissue-associated barcodes. These genes are used to calculate per-gene enrichments.
